
C:\Users\rache\Desktop\rushexit\games\a-history-of-birds>python -m cProfile -s tottime a_history_of_birds.py
         5012731 function calls (5007026 primitive calls) in 14.017 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 texture_storage_multisample.py:23(<module>)
        1    0.000    0.000    0.000    0.000 shading_language_packing.py:29(<module>)
        1    0.000    0.000    0.000    0.000 map_buffer_alignment.py:16(<module>)
        1    0.000    0.000    0.000    0.000 enhanced_layouts.py:109(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:872(namelist)
      614    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       50    0.000    0.000    0.000    0.000 pyparsing.py:2652(__init__)
        1    0.000    0.000    0.000    0.000 fragment_layer_viewport.py:22(<module>)
      186    0.000    0.000    0.000    0.000 version.py:207(<genexpr>)
        1    0.000    0.000    0.002    0.002 GL_4_1.py:1(<module>)
        1    0.000    0.000    0.002    0.002 urlparse.py:29(<module>)
      598    0.000    0.000    0.000    0.000 camera.py:44(get_roll)
       16    0.000    0.000    0.019    0.001 pyparsing.py:1844(__init__)
       34    0.000    0.000    0.029    0.001 __init__.py:663(add_entry)
        1    0.000    0.000    0.000    0.000 shader_image_size.py:13(<module>)
        8    0.000    0.000    0.003    0.000 __init__.py:1859(get_metadata)
       48    0.000    0.000    0.002    0.000 __init__.py:1381(safe_version)
       47    0.000    0.000    0.000    0.000 images.py:430(setDimensionsAsInts)
       84    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.011    0.011 __init__.py:1611(build)
      107    0.000    0.000    0.002    0.000 pyparsing.py:828(copy)
       51    0.000    0.000    0.001    0.000 pyparsing.py:2385(__init__)
        5    0.000    0.000    0.001    0.000 ssl.py:114(_import_symbols)
       38    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
       48    0.000    0.000    0.000    0.000 version.py:236(__str__)
      135    0.000    0.000    0.000    0.000 __init__.py:2415(key)
      598    0.000    0.000    0.000    0.000 terrain.py:20(get_model)
       15    0.000    0.000    0.002    0.000 genericpath.py:23(exists)
       21    0.000    0.000    0.000    0.000 {nt._getfullpathname}
      120    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
      519    0.000    0.000    0.000    0.000 vertex.py:30(has_same_texture_and_normal)
      598    0.000    0.000    0.000    0.000 model_texture.py:15(get_reflectivity)
      598    0.000    0.000    0.000    0.000 camera.py:38(get_position)
        1    0.000    0.000    0.002    0.002 GL_1_3.py:1(<module>)
      355    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
        1    0.000    0.000    0.002    0.002 GL_3_0.py:9(<module>)
        1    0.000    0.000    0.000    0.000 strings.py:2(<module>)
      299    0.000    0.000    0.000    0.000 terrain.py:16(get_position_x)
    23/17    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 {zip}
        9    0.000    0.000    0.002    0.000 GL_2_0.py:442(glVertexAttribPointer)
        1    0.000    0.000    0.000    0.000 constant.py:1(<module>)
       55    0.000    0.000    0.000    0.000 threading.py:187(release)
        3    0.000    0.000    0.001    0.000 loader.py:33(create_vao)
       36    0.000    0.000    0.000    0.000 pyparsing.py:1891(__str__)
     1689    0.000    0.000    0.000    0.000 {ord}
       19    0.000    0.000    0.000    0.000 __init__.py:2102(fixup_namespace_packages)
      107    0.000    0.000    0.000    0.000 copy_reg.py:92(__newobj__)
        2    0.000    0.000    0.001    0.001 shader_program.py:29(clean_up)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       75    0.000    0.000    0.000    0.000 __init__.py:2542(__getattr__)
      299    0.000    0.000    0.000    0.000 {pygame.key.get_mods}
       49    0.000    0.000    0.005    0.000 images.py:574(typedImageFunction)
        1    0.000    0.000    0.001    0.001 GL_1_4.py:1(<module>)
       40    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 sysfont.py:21(<module>)
        1    0.000    0.000    0.002    0.002 loader.py:26(clean_up)
        4    0.000    0.000    0.000    0.000 converters.py:292(__call__)
      154    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        1    0.000    0.000    0.001    0.001 GL_4_0.py:1(<module>)
        1    0.000    0.000    0.001    0.001 plistlib.py:51(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
        1    0.000    0.000    0.000    0.000 {pygame.time.Clock}
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
       92    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
       40    0.000    0.000    0.000    0.000 genericpath.py:93(_splitext)
        1    0.000    0.000    0.000    0.000 <string>:1(DefaultVerifyPaths)
       43    0.000    0.000    0.001    0.000 baseplatform.py:121(wrapLogging)
        1    0.000    0.000    0.001    0.001 shader_objects.py:1(<module>)
    82/80    0.000    0.000    0.000    0.000 pyparsing.py:286(__init__)
       91    0.000    0.000    0.000    0.000 pyparsing.py:1577(__init__)
        1    0.000    0.000    0.000    0.000 logs.py:6(<module>)
      186    0.000    0.000    0.000    0.000 {all}
       55    0.000    0.000    0.001    0.000 __init__.py:1567(getLogger)
        3    0.000    0.000    0.000    0.000 numeric.py:365(extend_all)
        4    0.000    0.000    0.001    0.000 __init__.py:346(__init__)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.001    0.001 GL_3_3.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
     17/3    0.000    0.000    0.000    0.000 pyparsing.py:2324(streamline)
       17    0.000    0.000    0.015    0.001 __init__.py:1462(has_metadata)
        1    0.000    0.000    0.000    0.000 terrain.py:1(<module>)
     1000    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.001    0.001 GL_3_2.py:1(<module>)
      141    0.000    0.000    0.004    0.000 baseplatform.py:96(functionTypeFor)
       51    0.000    0.000    0.001    0.000 pyparsing.py:1238(__add__)
       55    0.000    0.000    0.000    0.000 __init__.py:205(_acquireLock)
       90    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
      204    0.000    0.000    0.000    0.000 arrayhelpers.py:88(asArrayType)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
      532    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       77    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
        1    0.000    0.000    0.000    0.000 converters.py:1(<module>)
       20    0.000    0.000    0.000    0.000 __init__.py:721(__iter__)
      120    0.000    0.000    0.000    0.000 _bytes.py:38(as_8_bit)
       38    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
       26    0.000    0.000    0.000    0.000 numerictypes.py:229(bitname)
       52    0.000    0.000    0.000    0.000 __init__.py:22(find_module)
        1    0.000    0.000    0.000    0.000 formathandler.py:8(FormatHandler)
      338    0.000    0.000    0.000    0.000 sre_parse.py:145(__setitem__)
       14    0.000    0.000    0.000    0.000 GL_2_0.py:422(glGetUniformLocation)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.002    0.002 GL_4_2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compat.py:21(get_BytesIO)
       19    0.000    0.000    0.007    0.000 __init__.py:2952(<lambda>)
       21    0.000    0.000    0.000    0.000 numerictypes.py:216(_evalname)
        8    0.000    0.000    0.000    0.000 plugins.py:61(match)
        1    0.000    0.000    0.000    0.000 numbers.py:2(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:83(<module>)
      239    0.000    0.000    0.000    0.000 {max}
       19    0.000    0.000    0.000    0.000 __init__.py:1528(_fn)
        1    0.000    0.000    0.001    0.001 GL_1_5.py:1(<module>)
     11/5    0.000    0.000    0.001    0.000 pyparsing.py:2293(leaveWhitespace)
      804    0.000    0.000    0.000    0.000 vertex.py:14(get_position)
        9    0.000    0.000    0.000    0.000 contextdata.py:44(setValue)
        4    0.000    0.000    0.001    0.000 converters.py:307(stringArrayForC)
       36    0.000    0.000    0.001    0.000 __init__.py:2844(_find_adapter)
        1    0.000    0.000    0.083    0.083 terrain.py:7(__init__)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
       15    0.000    0.000    0.002    0.000 __init__.py:1567(_has)
        1    0.000    0.000    0.001    0.001 GL_3_1.py:1(<module>)
        1    0.000    0.000    0.001    0.001 internalformat_query2.py:1(<module>)
     20/8    0.000    0.000    0.001    0.000 pyparsing.py:2521(parseImpl)
      120    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
       34    0.000    0.000    0.001    0.000 __init__.py:1927(find_distributions)
        1    0.000    0.000    0.000    0.000 suite.py:78(TestSuite)
       43    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        3    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
        1    0.000    0.000    0.001    0.001 program_interface_query.py:1(<module>)
       34    0.000    0.000    0.000    0.000 pkgutil.py:366(get_importer)
        1    0.000    0.000    0.000    0.000 ES2_compatibility.py:1(<module>)
      299    0.000    0.000    0.000    0.000 terrain.py:18(get_position_z)
        1    0.000    0.000    0.682    0.682 display_manager.py:5(__init__)
      122    0.000    0.000    0.002    0.000 GL_4_5.py:12(_f)
      119    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
       77    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        1    0.000    0.000    0.007    0.007 __init__.py:950(subscribe)
        1    0.000    0.000    0.000    0.000 _structures.py:4(<module>)
       40    0.000    0.000    0.001    0.000 pyparsing.py:2514(__init__)
        1    0.000    0.000    0.000    0.000 texture_view.py:1(<module>)
       19    0.000    0.000    0.000    0.000 nosetester.py:170(__init__)
     10/2    0.000    0.000    0.001    0.001 pyparsing.py:2392(parseImpl)
       13    0.000    0.000    0.000    0.000 __init__.py:1071(_fixupParents)
        1    0.000    0.000    0.000    0.000 GL_1_2.py:1(<module>)
        2    0.000    0.000    0.001    0.000 util.py:1(<module>)
       41    0.000    0.000    0.001    0.000 ntpath.py:213(dirname)
        1    0.000    0.000    0.000    0.000 master_renderer.py:57(create_projection_matrix)
       40    0.000    0.000    0.001    0.000 pyparsing.py:1349(__or__)
        3    0.000    0.000    0.002    0.001 loader.py:51(bind_indices_buffer)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
      299    0.000    0.000    0.000    0.000 {method 'get_fps' of 'Clock' objects}
      518    0.000    0.000    0.000    0.000 vertex.py:24(set_normal_index)
        4    0.000    0.000    0.011    0.003 __init__.py:1639(load)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.009    0.009 zipfile.py:726(__init__)
       93    0.000    0.000    0.002    0.000 GL_2_0.py:12(_f)
        1    0.000    0.000    0.001    0.001 util.py:46(find_library)
       26    0.000    0.000    0.001    0.000 core.py:6358(getdoc)
       95    0.000    0.000    0.001    0.000 images.py:420(asWrapper)
       26    0.000    0.000    0.000    0.000 pyparsing.py:1816(__str__)
        1    0.000    0.000    0.000    0.000 maths.py:1(<module>)
    25/15    0.000    0.000    0.001    0.000 pyparsing.py:2368(copy)
      518    0.000    0.000    0.000    0.000 vertex.py:22(set_texture_index)
      253    0.000    0.000    0.000    0.000 sre_parse.py:221(isident)
      9/7    0.000    0.000    0.060    0.009 __init__.py:34(load_module)
        9    0.000    0.000    0.013    0.001 plugins.py:33(importByName)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wrapper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 vertex_buffer_object.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       83    0.000    0.000    0.000    0.000 six.py:141(__init__)
        1    0.000    0.000    0.000    0.000 contextdata.py:20(<module>)
      186    0.000    0.000    0.000    0.000 version.py:244(<genexpr>)
        1    0.000    0.000    0.000    0.000 uniform_buffer_object.py:1(<module>)
       22    0.000    0.000    0.001    0.000 ntpath.py:483(abspath)
        1    0.000    0.000    0.000    0.000 shader_image_load_store.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utf_8.py:8(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(_Version)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
      433    0.000    0.000    0.000    0.000 vertex.py:20(get_duplicate_vertex)
      109    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       84    0.000    0.000    0.001    0.000 GL_3_0.py:12(_f)
      152    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
       22    0.000    0.000    0.001    0.000 __init__.py:2138(normalize_path)
       55    0.000    0.000    0.000    0.000 __init__.py:214(_releaseLock)
       40    0.000    0.000    0.001    0.000 re.py:148(sub)
        1    0.000    0.000    0.000    0.000 ctypesparameters.py:2(<module>)
      187    0.000    0.000    0.000    0.000 pyparsing.py:1730(<genexpr>)
        1    0.000    0.000    0.000    0.000 texture_storage.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {nt.putenv}
       56    0.000    0.000    0.004    0.000 baseplatform.py:373(__nonzero__)
        1    0.000    0.000    0.000    0.000 GL_2_1.py:1(<module>)
        1    0.000    0.000    0.000    0.000 uu.py:31(<module>)
       24    0.000    0.000    0.000    0.000 pyparsing.py:1878(parseImpl)
      131    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       15    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
      184    0.000    0.000    0.000    0.000 pyparsing.py:2275(<genexpr>)
       36    0.000    0.000    0.000    0.000 wrapper.py:106(pyArgIndex)
       16    0.000    0.000    0.001    0.000 genericpath.py:34(isfile)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
       53    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       88    0.000    0.000    0.001    0.000 GL_4_1.py:12(_f)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.002    0.002 pyparsing.py:3488(_makeTags)
       43    0.000    0.000    0.001    0.000 core.py:113(get_object_signature)
        2    0.000    0.000    0.000    0.000 obj_file_loader.py:59(convert_indices_list_to_array)
        1    0.000    0.000    0.000    0.000 vertex_attrib_64bit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _opaque.py:1(<module>)
        1    0.000    0.000    0.000    0.000 plugins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.000    0.000 viewport_array.py:1(<module>)
       83    0.000    0.000    0.000    0.000 pyparsing.py:1487(__str__)
      104    0.000    0.000    0.000    0.000 pyparsing.py:1443(setWhitespaceChars)
       32    0.000    0.000    0.000    0.000 __init__.py:2165(yield_lines)
       82    0.000    0.000    0.000    0.000 pyparsing.py:277(__new__)
      518    0.000    0.000    0.000    0.000 vertex.py:18(get_normal_index)
       27    0.000    0.000    0.000    0.000 core.py:903(__init__)
        1    0.000    0.000    0.036    0.036 __init__.py:2927(_initialize_master_working_set)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
      121    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       19    0.000    0.000    0.000    0.000 nosetester.py:511(_numpy_tester)
       14    0.000    0.000    0.000    0.000 __init__.py:1127(__init__)
      111    0.000    0.000    0.000    0.000 threading.py:64(_note)
      517    0.000    0.000    0.000    0.000 {globals}
      520    0.000    0.000    0.000    0.000 vertex.py:12(get_length)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
      144    0.000    0.000    0.000    0.000 version.py:298(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 unicode_escape.py:8(<module>)
        1    0.000    0.000    0.000    0.000 compute_shader.py:1(<module>)
        6    0.000    0.000    0.001    0.000 warnings.py:67(filterwarnings)
        1    0.000    0.000    0.000    0.000 ctypespointers.py:2(<module>)
      269    0.000    0.000    0.000    0.000 {numpy.core.multiarray.add_docstring}
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
        1    0.000    0.000    0.000    0.000 base_instance.py:1(<module>)
       43    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
        8    0.000    0.000    0.000    0.000 {method 'splitlines' of 'unicode' objects}
      372    0.000    0.000    0.000    0.000 vertex.py:10(get_index)
        1    0.000    0.000    0.000    0.000 shader_atomic_counters.py:1(<module>)
       40    0.000    0.000    0.000    0.000 __init__.py:2149(_is_unpacked_egg)
       56    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
        3    0.000    0.000    0.000    0.000 exceptional.py:50(glDeleteTextures)
       40    0.000    0.000    0.001    0.000 __init__.py:1373(safe_name)
        8    0.000    0.000    0.004    0.000 __init__.py:2328(_version_from_file)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:490(PYFUNCTYPE)
        8    0.000    0.000    0.003    0.000 __init__.py:1872(get_metadata_lines)
       46    0.000    0.000    0.001    0.000 GL_1_3.py:12(_f)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
       64    0.000    0.000    0.000    0.000 pyparsing.py:950(preParse)
      518    0.000    0.000    0.000    0.000 vertex.py:16(get_texture_index)
        1    0.000    0.000    0.000    0.000 vertex_attrib_binding.py:1(<module>)
       40    0.000    0.000    0.000    0.000 ntpath.py:199(splitext)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1781(parseImpl)
      286    0.000    0.000    0.000    0.000 vertex.py:26(set_duplicate_vertex)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3027(__init__)
        3    0.000    0.000    0.006    0.002 loader.py:9(load_to_vao)
        1    0.000    0.000    0.000    0.000 numerictypes.py:338(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 _opaque.py:21(opaque_pointer_cls)
       60    0.000    0.000    0.001    0.000 separate_shader_objects.py:12(_f)
        1    0.000    0.000    0.000    0.000 core.py:2683(MaskedArray)
       41    0.000    0.000    0.000    0.000 six.py:184(find_module)
       58    0.000    0.000    0.001    0.000 GL_3_3.py:12(_f)
       43    0.000    0.000    0.000    0.000 baseplatform.py:112(wrapContextCheck)
       30    0.000    0.000    0.000    0.000 numerictypes.py:443(_add_array_type)
       17    0.000    0.000    0.001    0.000 pyparsing.py:846(setResultsName)
        1    0.000    0.000    0.000    0.000 numerictypes.py:285(_add_types)
        1    0.000    0.000    0.000    0.000 invalidate_subdata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transform_feedback_instanced.py:1(<module>)
       10    0.000    0.000    0.000    0.000 pyparsing.py:3260(_escapeRegexRangeChars)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:451(_set_array_types)
       18    0.000    0.000    0.000    0.000 numbers.py:50(asArray)
   100/69    0.000    0.000    0.000    0.000 {issubclass}
        1    0.000    0.000    0.000    0.000 shader_storage_buffer_object.py:1(<module>)
        1    0.000    0.000    0.000    0.000 six.py:689(exec_)
        1    0.000    0.000    0.000    0.000 texture_buffer_object.py:1(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:496(__iadd__)
        1    0.000    0.000    0.000    0.000 get_program_binary.py:1(<module>)
       16    0.000    0.000    0.000    0.000 copy_reg.py:95(_slotnames)
       16    0.000    0.000    0.000    0.000 pyparsing.py:883(setParseAction)
        1    0.000    0.000    0.000    0.000 framebuffer_no_attachments.py:1(<module>)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:330(prep_simple)
        1    0.000    0.000    0.000    0.000 <string>:1(_ASN1Object)
        8    0.000    0.000    0.002    0.000 __init__.py:2548(from_filename)
        4    0.000    0.000    0.001    0.000 {method 'dataPointer' of 'OpenGL_accelerate.arraydatatype.ArrayDatatype' objects}
      147    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:3398(<lambda>)
       19    0.000    0.000    0.000    0.000 _types.py:35(_defineType)
        1    0.000    0.000    0.000    0.000 ES3_compatibility.py:1(<module>)
       28    0.000    0.000    0.000    0.000 {sys._getframe}
       43    0.000    0.000    0.000    0.000 collections.py:373(<genexpr>)
       47    0.000    0.000    0.001    0.000 GL_1_4.py:12(_f)
       43    0.000    0.000    0.000    0.000 collections.py:375(<genexpr>)
     11/5    0.000    0.000    0.001    0.000 pyparsing.py:2673(leaveWhitespace)
        1    0.000    0.000    0.000    0.000 clear_buffer_object.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:769(_trim_arity)
        1    0.000    0.000    0.000    0.000 multi_draw_indirect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 socket.py:183(_socketobject)
        2    0.000    0.000    0.000    0.000 {_ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 texture_storage_multisample.py:1(<module>)
        1    0.000    0.000    0.000    0.000 texture_buffer_range.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compressed_texture_pixel_storage.py:1(<module>)
       45    0.000    0.000    0.001    0.000 GL_4_3.py:12(_f)
        1    0.000    0.000    0.000    0.000 stencil_texturing.py:1(<module>)
     16/2    0.000    0.000    0.001    0.000 pyparsing.py:2667(parseImpl)
        9    0.000    0.000    0.000    0.000 re.py:208(escape)
        6    0.000    0.000    0.001    0.000 pyparsing.py:3047(__init__)
        1    0.000    0.000    0.000    0.000 lazywrapper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:6(<module>)
        1    0.000    0.000    0.000    0.000 arrays_of_arrays.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
        1    0.000    0.000    0.025    0.025 master_renderer.py:16(__init__)
      113    0.000    0.000    0.000    0.000 pyparsing.py:2387(<genexpr>)
        1    0.000    0.000    0.000    0.000 robust_buffer_access_behavior.py:1(<module>)
        1    0.000    0.000    0.000    0.000 copy_image.py:1(<module>)
       51    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        3    0.000    0.000    0.013    0.004 __init__.py:1822(_has)
       39    0.000    0.000    0.001    0.000 shader_objects.py:12(_f)
        1    0.000    0.000    0.000    0.000 enhanced_layouts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 explicit_uniform_location.py:1(<module>)
        1    0.000    0.000    0.000    0.000 internalformat_query.py:1(<module>)
        1    0.000    0.000    0.004    0.004 platform.py:10(<module>)
        1    0.000    0.000    0.000    0.000 shader_precision.py:1(<module>)
       17    0.000    0.000    0.000    0.000 pyparsing.py:838(setName)
        1    0.000    0.000    0.000    0.000 _lookupint.py:1(<module>)
       16    0.000    0.000    0.000    0.000 abc.py:105(register)
        1    0.000    0.000    0.000    0.000 numerictypes.py:781(_construct_lookups)
      153    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1906(__init__)
       34    0.000    0.000    0.001    0.000 imaging.py:12(_f)
      114    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 formathandler.py:4(<module>)
       46    0.000    0.000    0.001    0.000 GL_4_0.py:12(_f)
        1    0.000    0.000    0.000    0.000 texture_query_levels.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shading_language_packing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
      293    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      127    0.000    0.000    0.000    0.000 six.py:88(__init__)
        1    0.000    0.000    0.000    0.000 fragment_layer_viewport.py:1(<module>)
        8    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        1    0.000    0.000    0.013    0.013 specifiers.py:275(Specifier)
       50    0.000    0.000    0.000    0.000 {locals}
        1    0.000    0.000    0.000    0.000 map_buffer_alignment.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:981(__init__)
       14    0.000    0.000    0.000    0.000 shader_program.py:17(get_uniform_location)
        1    0.000    0.000    0.000    0.000 _iotools.py:473(StringConverter)
       23    0.000    0.000    0.000    0.000 ntpath.py:43(normcase)
        2    0.000    0.000    0.001    0.000 __init__.py:71(search_function)
       30    0.000    0.000    0.001    0.000 GL_1_1.py:13(_f)
       37    0.000    0.000    0.000    0.000 wrapper.py:341(setStoreValues)
        1    0.000    0.000    0.000    0.000 shading_language_420pack.py:1(<module>)
      312    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       39    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
        1    0.000    0.000    0.000    0.000 shader_image_size.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:129(<dictcomp>)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _compat.py:20(with_metaclass)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
       12    0.000    0.000    0.000    0.000 __init__.py:1856(has_metadata)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 conservative_depth.py:1(<module>)
        1    0.000    0.000    0.000    0.000 terrain_shader.py:13(get_all_uniform_locations)
    12/11    0.000    0.000    0.000    0.000 pyparsing.py:2429(__str__)
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
        1    0.000    0.000    0.002    0.002 random.py:100(seed)
        6    0.000    0.000    0.000    0.000 shader_program.py:36(bind_attribute)
        1    0.000    0.000    0.021    0.021 __init__.py:608(__init__)
      112    0.000    0.000    0.000    0.000 {thread.get_ident}
       48    0.000    0.000    0.000    0.000 {method 'startswith' of 'unicode' objects}
        8    0.000    0.000    0.004    0.000 __init__.py:2675(_reload_version)
        5    0.000    0.000    0.000    0.000 getlimits.py:245(__init__)
       44    0.000    0.000    0.000    0.000 six.py:105(__init__)
       31    0.000    0.000    0.000    0.000 wrapper.py:1480(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1550(_setup_prefix)
       10    0.000    0.000    0.000    0.000 pyparsing.py:2854(__init__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
      114    0.000    0.000    0.000    0.000 pyparsing.py:2517(<genexpr>)
        1    0.000    0.000    0.000    0.000 format.py:149(<module>)
        7    0.000    0.000    0.000    0.000 specifiers.py:266(_require_version_compare)
        1    0.000    0.000    0.001    0.001 pyparsing.py:3268(oneOf)
        3    0.000    0.000    0.000    0.000 {method 'finalise' of 'OpenGL_accelerate.arraydatatype.SizedOutput' objects}
        1    0.000    0.000    0.000    0.000 win32.py:20(Win32Platform)
     11/4    0.000    0.000    0.000    0.000 pyparsing.py:2692(streamline)
        1    0.000    0.000    0.000    0.000 hermite.py:59(<module>)
       97    0.000    0.000    0.000    0.000 pyparsing.py:3421(<genexpr>)
       50    0.000    0.000    0.000    0.000 {any}
       72    0.000    0.000    0.000    0.000 numerictypes.py:127(english_lower)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:19(<module>)
       35    0.000    0.000    0.000    0.000 images.py:462(__init__)
       26    0.000    0.000    0.001    0.000 core.py:6353(__init__)
       95    0.000    0.000    0.000    0.000 pyparsing.py:168(<genexpr>)
        1    0.000    0.000    0.005    0.005 version.py:191(Version)
        1    0.000    0.000    0.000    0.000 _arrayconstants.py:1(<module>)
