
C:\Users\rache\Desktop\rushexit\games\a-history-of-birds>python -m cProfile -s tottime a_history_of_birds.py
         5012731 function calls (5007026 primitive calls) in 14.017 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4524/4400    0.002    0.000    0.004    0.000 {getattr}
      860    0.002    0.000    0.005    0.000 wrapper.py:291(setCConverter)
       12    0.002    0.000    0.002    0.000 GL_1_5.py:67(glBufferData)
       60    0.002    0.000    0.002    0.000 {nt._isdir}
      921    0.002    0.000    0.004    0.000 {method 'asArray' of 'OpenGL_accelerate.arraydatatype.ArrayDatatype' objects}
      163    0.002    0.000    0.011    0.000 baseplatform.py:132(constructFunction)
      299    0.002    0.000    0.054    0.000 static_shader.py:28(load_view_matrix)
        2    0.002    0.001    0.008    0.004 obj_file_loader.py:6(load_obj)
      299    0.002    0.000    0.002    0.000 {method 'tick' of 'Clock' objects}
        1    0.002    0.002    0.013    0.013 error.py:9(<module>)
      114    0.002    0.000    0.002    0.000 ctypesloader.py:50(buildFunction)
        1    0.002    0.002    0.003    0.003 numeric.py:1(<module>)
        3    0.002    0.001    0.002    0.001 {pygame.image.tostring}
        8    0.002    0.000    0.002    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        4    0.002    0.000    0.008    0.002 shader_program.py:50(load_shader)
        2    0.002    0.001    0.007    0.004 __init__.py:45(<module>)
        1    0.002    0.002    0.139    0.139 display_manager.py:1(<module>)
      299    0.002    0.000    0.002    0.000 {pygame.key.get_pressed}
        1    0.002    0.002    0.007    0.007 tempfile.py:18(<module>)
      299    0.002    0.000    0.002    0.000 terrain_renderer.py:29(unbind_textured_model)
  519/372    0.002    0.000    0.002    0.000 obj_file_loader.py:84(deal_with_already_processed_vertex)
      123    0.002    0.000    0.055    0.000 re.py:230(_compile)
        1    0.002    0.002    0.025    0.025 feedparser.py:20(<module>)
        1    0.002    0.002    0.012    0.012 GL_4_1.py:9(<module>)
        1    0.002    0.002    0.002    0.002 __init__.py:5(<module>)
        1    0.002    0.002    0.060    0.060 surfarray.py:60(<module>)
      611    0.002    0.000    0.002    0.000 zipfile.py:287(__init__)
      920    0.002    0.000    0.009    0.000 strings.py:17(from_param)
      598    0.002    0.000    0.005    0.000 static_shader.py:21(load_shine_variables)
        1    0.002    0.002    0.002    0.002 __init__.py:88(<module>)
        1    0.001    0.001    0.022    0.022 message.py:5(<module>)
       66    0.001    0.000    0.016    0.000 __init__.py:1959(find_on_path)
        2    0.001    0.001    0.002    0.001 loader.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {function seed at 0x038033F0}
        1    0.001    0.001    0.001    0.001 hashlib.py:56(<module>)
        1    0.001    0.001    0.002    0.002 case.py:1(<module>)
        1    0.001    0.001    0.004    0.004 master_renderer.py:1(<module>)
      299    0.001    0.000    0.002    0.000 master_renderer.py:52(process_terrain)
      299    0.001    0.000    0.004    0.000 terrain_shader.py:31(load_light)
      143    0.001    0.000    0.001    0.000 __init__.py:116(WINFUNCTYPE)
        1    0.001    0.001    0.002    0.002 static_shader.py:1(<module>)
      480    0.001    0.000    0.010    0.000 wrapper.py:203(setInputArraySize)
        1    0.001    0.001    0.003    0.003 __init__.py:41(<module>)
      299    0.001    0.000    0.031    0.000 terrain_renderer.py:34(load_model_matrix)
        1    0.001    0.001    0.001    0.001 shutil.py:5(<module>)
   310/77    0.001    0.000    0.032    0.000 sre_parse.py:317(_parse_sub)
        1    0.001    0.001    0.007    0.007 _internal.py:6(<module>)
        1    0.001    0.001    0.011    0.011 GL_1_1.py:1(<module>)
     1299    0.001    0.000    0.022    0.000 __init__.py:58(createFunction)
        1    0.001    0.001    0.007    0.007 win32.py:1(<module>)
        1    0.001    0.001    0.001    0.001 polynomial.py:55(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:1805(_index)
        2    0.001    0.001    0.001    0.001 obj_file_loader.py:65(convert_data_to_arrays)
      183    0.001    0.000    0.005    0.000 wrapper.py:126(setOutput)
        1    0.001    0.001    0.001    0.001 sndarray.py:57(<module>)
        1    0.001    0.001    0.001    0.001 collections.py:11(<module>)
     2718    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x6E766628}
        2    0.001    0.001    0.004    0.002 vboimplementation.py:1(<module>)
        1    0.001    0.001    0.001    0.001 npyio.py:1(<module>)
        1    0.001    0.001    0.008    0.008 images.py:14(<module>)
        3    0.001    0.000    0.001    0.000 {_ctypes.LoadLibrary}
     2532    0.001    0.000    0.001    0.000 wrapper.py:35(asList)
        1    0.001    0.001    0.002    0.002 index_tricks.py:1(<module>)
     1299    0.001    0.000    0.001    0.000 __init__.py:39(add_types)
      900    0.001    0.000    0.001    0.000 strings.py:38(asArray)
     1917    0.001    0.000    0.002    0.000 wrapper.py:91(__getattr__)
        1    0.001    0.001    0.001    0.001 {nt.urandom}
      372    0.001    0.000    0.003    0.000 obj_file_loader.py:47(process_vertex)
      304    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 result.py:1(<module>)
        1    0.001    0.001    0.001    0.001 sprite.py:66(<module>)
     2066    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
        1    0.001    0.001    0.006    0.006 GL_1_2.py:9(<module>)
     2960    0.001    0.000    0.002    0.000 sre_parse.py:206(match)
        1    0.001    0.001    0.001    0.001 _parseaddr.py:7(<module>)
      233    0.001    0.000    0.001    0.000 pyparsing.py:805(__init__)
      299    0.001    0.000    0.025    0.000 terrain_shader.py:28(load_view_matrix)
      299    0.001    0.000    0.091    0.000 display_manager.py:10(update_display)
      269    0.001    0.000    0.005    0.000 sre_compile.py:228(_compile_charset)
       36    0.001    0.000    0.001    0.000 __init__.py:2837(_get_mro)
        1    0.001    0.001    0.018    0.018 __init__.py:7(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:24(<module>)
        1    0.001    0.001    0.008    0.008 GL_2_0.py:9(<module>)
        1    0.001    0.001    0.059    0.059 _numpysurfarray.py:45(<module>)
        1    0.001    0.001    0.003    0.003 Queue.py:1(<module>)
        1    0.001    0.001    0.003    0.003 imaging.py:9(<module>)
        1    0.001    0.001    0.002    0.002 threading.py:1(<module>)
        1    0.001    0.001    0.004    0.004 __init__.py:9(<module>)
       64    0.001    0.000    0.012    0.000 baseplatform.py:379(load)
        1    0.001    0.001    0.001    0.001 acceleratesupport.py:1(<module>)
        1    0.001    0.001    0.001    0.001 numpymodule.py:6(<module>)
       48    0.001    0.000    0.002    0.000 version.py:198(__init__)
        1    0.001    0.001    0.002    0.002 numerictypes.py:82(<module>)
      299    0.001    0.000    0.002    0.000 terrain_shader.py:21(load_shine_variables)
        1    0.001    0.001    0.006    0.006 GL_1_0.py:1(<module>)
        1    0.001    0.001    0.034    0.034 requirements.py:4(<module>)
        1    0.001    0.001    0.008    0.008 version.py:4(<module>)
      299    0.001    0.000    0.004    0.000 terrain_shader.py:24(load_transformation_matrix)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
      666    0.001    0.000    0.001    0.000 wrapper.py:117(cArgIndex)
       19    0.001    0.000    0.001    0.000 __init__.py:2587(insert_on)
        1    0.001    0.001    0.001    0.001 zipfile.py:433(_GenerateCRCTable)
        1    0.001    0.001    0.002    0.002 debug.py:118(<module>)
      671    0.001    0.000    0.003    0.000 wrapper.py:86(__init__)
       77    0.001    0.000    0.004    0.000 sre_compile.py:433(_compile_info)
        1    0.001    0.001    0.004    0.004 random.py:40(<module>)
        1    0.001    0.001    0.004    0.004 __init__.py:16(<module>)
        1    0.001    0.001    0.001    0.001 shader_program.py:1(<module>)
       28    0.001    0.000    0.001    0.000 {nt.access}
        8    0.001    0.000    0.001    0.000 {open}
        1    0.001    0.001    0.001    0.001 platform.py:971(_syscmd_file)
      400    0.001    0.000    0.001    0.000 entity.py:2(__init__)
     3671    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.001    0.001    0.026    0.026 parser.py:5(<module>)
     2444    0.001    0.000    0.001    0.000 {method 'read' of 'cStringIO.StringI' objects}
      338    0.001    0.000    0.001    0.000 sre_compile.py:428(_simple)
        1    0.001    0.001    0.001    0.001 vbo.py:32(<module>)
        1    0.001    0.001    0.001    0.001 errors.py:5(<module>)
        8    0.001    0.000    0.001    0.000 {_io.open}
       48    0.001    0.000    0.001    0.000 version.py:343(_cmpkey)
  884/875    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2551    0.001    0.000    0.001    0.000 {method 'index' of 'list' objects}
     1000    0.001    0.000    0.001    0.000 random.py:358(uniform)
        1    0.001    0.001    0.001    0.001 baseplatform.py:2(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:173(<module>)
      107    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      518    0.001    0.000    0.001    0.000 vertex.py:2(__init__)
      215    0.001    0.000    0.001    0.000 ntpath.py:96(splitdrive)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
       48    0.000    0.000    0.002    0.000 images.py:513(setImageInput)
      748    0.000    0.000    0.000    0.000 {range}
      612    0.000    0.000    0.001    0.000 __init__.py:1622(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:10(<module>)
        1    0.000    0.000    0.020    0.020 charset.py:6(<module>)
        1    0.000    0.000    0.001    0.001 arrayhelpers.py:5(<module>)
     1584    0.000    0.000    0.001    0.000 sre_parse.py:137(__len__)
     1905    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
       77    0.000    0.000    0.053    0.001 sre_compile.py:567(compile)
     1343    0.000    0.000    0.001    0.000 sre_parse.py:149(append)
        1    0.000    0.000    0.000    0.000 entity_renderer.py:1(<module>)
       29    0.000    0.000    0.001    0.000 lazywrapper.py:20(wrap)
       65    0.000    0.000    0.011    0.000 win32.py:110(constructFunction)
      273    0.000    0.000    0.001    0.000 function_base.py:3944(add_newdoc)
        1    0.000    0.000    0.000    0.000 terrain_renderer.py:1(<module>)
        1    0.000    0.000    0.034    0.034 type_check.py:3(<module>)
       77    0.000    0.000    0.033    0.000 sre_parse.py:706(parse)
     2021    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _types.py:5(<module>)
      841    0.000    0.000    0.001    0.000 baseplatform.py:125(finalArgType)
        1    0.000    0.000    0.001    0.001 GL_2_1.py:9(<module>)
        1    0.000    0.000    0.000    0.000 ctypesarrays.py:5(<module>)
       25    0.000    0.000    0.001    0.000 abc.py:86(__new__)
      613    0.000    0.000    0.000    0.000 {_struct.unpack}
        1    0.000    0.000    0.004    0.004 GL_1_3.py:9(<module>)
       97    0.000    0.000    0.001    0.000 {map}
        1    0.000    0.000    0.005    0.005 ssl.py:88(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.003    0.003 GL_4_5.py:9(<module>)
      107    0.000    0.000    0.001    0.000 copy.py:306(_reconstruct)
      847    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
       92    0.000    0.000    0.001    0.000 pyparsing.py:2266(__init__)
      273    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.044    0.044 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.011    0.011 decorators.py:15(<module>)
      885    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      959    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _glgets.py:1(<module>)
      480    0.000    0.000    0.001    0.000 wrapper.py:197(typeOfArg)
      611    0.000    0.000    0.000    0.000 zipfile.py:383(_decodeExtra)
      915    0.000    0.000    0.001    0.000 sre_compile.py:101(fixup)
        1    0.000    0.000    0.001    0.001 ES2_compatibility.py:15(<module>)
     1378    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 obj_file_loader.py:1(<module>)
        1    0.000    0.000    0.002    0.002 GL_4_0.py:9(<module>)
       61    0.000    0.000    0.001    0.000 ntpath.py:174(split)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
      485    0.000    0.000    0.000    0.000 urllib.py:1217(<genexpr>)
        1    0.000    0.000    0.003    0.003 GL_1_4.py:9(<module>)
       13    0.000    0.000    0.001    0.000 wrapper.py:368(finalise)
       46    0.000    0.000    0.000    0.000 sre_parse.py:227(isname)
        1    0.000    0.000    0.000    0.000 nones.py:2(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
        1    0.000    0.000    0.003    0.003 separate_shader_objects.py:84(<module>)
       30    0.000    0.000    0.002    0.000 pointers.py:101(wrapPointerFunction)
     1299    0.000    0.000    0.000    0.000 __init__.py:37(types)
        1    0.000    0.000    0.001    0.001 __init__.py:3(<module>)
    106/2    0.000    0.000    0.001    0.001 pyparsing.py:969(_parseNoCache)
        1    0.000    0.000    0.002    0.002 GL_4_3.py:1(<module>)
      890    0.000    0.000    0.000    0.000 vertex.py:28(is_set)
        1    0.000    0.000    0.003    0.003 GL_3_3.py:9(<module>)
       40    0.000    0.000    0.008    0.000 __init__.py:2356(from_location)
        1    0.000    0.000    0.000    0.000 compressed_texture_pixel_storage.py:33(<module>)
        1    0.000    0.000    0.002    0.002 GL_1_5.py:9(<module>)
        1    0.000    0.000    0.015    0.015 specifiers.py:4(<module>)
       34    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        6    0.000    0.000    0.000    0.000 {method 'readlines' of 'file' objects}
        7    0.000    0.000    0.000    0.000 {dir}
     2022    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.003    0.003 GL_3_0.py:1(<module>)
        1    0.000    0.000    0.001    0.001 GL_4_4.py:9(<module>)
        1    0.000    0.000    0.001    0.001 vertex_buffer_object.py:67(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:387(<module>)
      598    0.000    0.000    0.000    0.000 light.py:5(get_position)
      485    0.000    0.000    0.000    0.000 urlparse.py:332(<genexpr>)
      611    0.000    0.000    0.000    0.000 zipfile.py:904(getinfo)
